rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,season,month,week,genre
1,spotify:track:78QR3Wp35dqAhFEc2qAGjE,"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",1,18,4,11011445,Autumn,October,1,Rap/HipHop
2,spotify:track:2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE,Cactus Jack / Epic / Grand Hustle,1,7,10,9596879,Autumn,October,1,Rap/HipHop
3,spotify:track:6wWaVoUOzLQJHd3bWAUpdZ,"Lil Baby, Gunna, Drake","Never Recover (Lil Baby & Gunna, Drake)","Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",3,-1,1,9209570,Autumn,October,1,Rap/HipHop
4,spotify:track:1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,Mo Bamba,Cactus Jack Records/ G.O.O.D. Music/ Interscope Records,4,13,11,9029401,Autumn,October,1,Rap/HipHop
5,spotify:track:0dbTQYW3Ad1FTzIA9t90E8,"Lil Wayne, Kendrick Lamar",Mona Lisa (feat. Kendrick Lamar),"Young Money Records, Inc.",1,1,2,8749506,Autumn,October,1,Rap/HipHop
6,spotify:track:4S8d14HvHb70ImctNgVzQQ,"Kanye West, Lil Pump",I Love It (& Lil Pump),"Getting Out Our Dreams, Inc./Def Jam Recordings",1,8,5,7983540,Autumn,October,1,Rap/HipHop
7,spotify:track:0s3nnoMeVWz3989MkNQiRf,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,1,12,23,7972482,Autumn,October,1,Rap/HipHop
8,spotify:track:2dpaYNEQHiRxtZbfNsse99,"Marshmello, Bastille",Happier,Astralwerks,8,15,8,7970081,Autumn,October,1,Dance
9,spotify:track:1jQvUmf16VE9WQCPuK2e8K,"6ix9ine, Bobby Shmurda",STOOPID,"Scumgang Records/TenThousand Projects, LLC",9,-1,1,7880641,Autumn,October,1,Rap/HipHop
10,spotify:track:0Dn40gxVCMo5TkgS8Ik18Q,"Lil Peep, XXXTENTACION",Falling Down - Bonus Track,Columbia,1,10,4,7874176,Autumn,October,1,Rap/HipHop
11,spotify:track:5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me,Capitol Records,11,-1,1,7854334,Autumn,October,1,Alternative
12,spotify:track:4w8niZpiMy6qz1mntFA5uM,"DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",11,11,2,7546445,Autumn,October,1,Dance
13,spotify:track:0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight,"Bad Vibes Forever, LLC",3,22,30,6909697,Autumn,October,1,Rap/HipHop
14,spotify:track:3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD!,"Bad Vibes Forever, LLC",1,20,32,6568086,Autumn,October,1,Rap/HipHop
15,spotify:track:2E124GmJRnBJuXbTb4cPUB,"6ix9ine, Nicki Minaj, Murda Beatz",FEFE,"Scumgang Records/TenThousand Projects, LLC",2,16,12,6513175,Autumn,October,1,Rap/HipHop
16,spotify:track:5BQrp63SHCVf4bzCzJePne,"Lil Wayne, XXXTENTACION",Don't Cry (feat. XXXTENTACION),"Young Money Records, Inc.",2,2,2,6037654,Autumn,October,1,Rap/HipHop
17,spotify:track:0TlLq3lA83rQOYtrqBqSct,Drake,Nonstop,Cash Money/Drake LP6,1,24,15,6027942,Autumn,October,1,Rap/HipHop
18,spotify:track:4T3fNx3CgwDRRYgmFCbD4J,Khalid,Better,"Right Hand Music Group, LLC/RCA Records",12,28,4,5569417,Autumn,October,1,R&B/Soul
19,spotify:track:3wScL5W8H40zzCKN0atfBk,"Lil Wayne, Swizz Beatz",Uproar,"Young Money Records, Inc.",4,4,2,5506298,Autumn,October,1,Rap/HipHop
20,spotify:track:7d6XJZjnm7iWcKwYL9z5kC,Lil Mosey,Noticed,Mogul Vision/Interscope Records,20,31,8,5454115,Autumn,October,1,Rap/HipHop
21,spotify:track:0Fpen1PTuEnCmOJtUU9Iud,Lil Uzi Vert,New Patek,Generation Now/Atlantic,4,23,4,5379174,Autumn,October,1,Rap/HipHop
22,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,A Star is Born OST,22,83,2,5339299,Autumn,October,1,Soundtrack
23,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,Republic Records,1,32,24,5330797,Autumn,October,1,Rap/HipHop
24,spotify:track:0QIjsbm2fh1cJ45XO9eGqq,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up in the Sky,Guwop Enterprises/Atlantic,6,27,4,5292998,Autumn,October,1,Soundtrack
25,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,Drake,In My Feelings,Cash Money/Drake LP6,1,29,15,5057595,Autumn,October,1,Rap/HipHop
26,spotify:track:0d2iYfpKoM0QCKvcLCkBao,"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),Benny Blanco Solo Album PS,10,33,13,5045066,Autumn,October,1,Dance
27,spotify:track:6vN77lE9LK6HP2DewaN6HZ,"Lil Baby, Drake",Yes Indeed,"Quality Control Music, LLC",2,36,22,5014229,Autumn,October,1,Rap/HipHop
28,spotify:track:15kQGEy89K8deJcZVFEn0N,"The Chainsmokers, Kelsea Ballerini",This Feeling,Disruptor Records/Columbia,28,47,3,4917321,Autumn,October,1,Dance
29,spotify:track:5IaHrVsrferBYDm0bDyABy,"Tyga, Offset",Taste (feat. Offset),Last Kings Music / EMPIRE,4,37,21,4820821,Autumn,October,1,Rap/HipHop
30,spotify:track:0CBQ0m3mufWH75LTYB3s6h,"Lil Wayne, Travis Scott",Let It Fly (feat. Travis Scott),"Young Money Records, Inc.",3,3,2,4654156,Autumn,October,1,Rap/HipHop
31,spotify:track:60SdxE8apGAxMiRrpbmLY0,"Eminem, Joyner Lucas",Lucky You (feat. Joyner Lucas),Aftermath,1,25,6,4595636,Autumn,October,1,Rap/HipHop
32,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,Bad Vibes Forever / EMPIRE,3,39,59,4511751,Autumn,October,1,Rap/HipHop
33,spotify:track:58q2HKrzhC3ozto2nDdN4z,"Cardi B, Bad Bunny, J Balvin",I Like It,Atlantic/KSR,3,42,27,4143706,Autumn,October,1,Rap/HipHop
34,spotify:track:0Y7di9ZCmB6Elad5WISaPc,Lil Wayne,Dedicate,"Young Money Records, Inc.",5,5,2,4078732,Autumn,October,1,Rap/HipHop
35,spotify:track:14mHfNsSHN0FbLftyjrV9g,Flipp Dinero,Leave Me Alone,Cinematic/Epic/We The Best,33,51,9,4053352,Autumn,October,1,Rap/HipHop
36,spotify:track:04MLEeAMuV9IlHEsD8vF6A,"French Montana, Drake",No Stylist (feat. Drake),Epic,23,56,3,4052814,Autumn,October,1,Rap/HipHop
37,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,"YG, 2 Chainz, Big Sean, Nicki Minaj","BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",Def Jam Recordings,24,49,20,3986178,Autumn,October,1,Rap/HipHop
38,spotify:track:7AQim7LbvFVZJE3O8TYgf2,"XXXTENTACION, Trippie Redd",Fuck Love (feat. Trippie Redd),Bad Vibes Forever / EMPIRE,8,50,59,3947080,Autumn,October,1,Rap/HipHop
39,spotify:track:5nzhL67GpF9szXWg5y509A,Lil Baby,Close Friends (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",39,-1,1,3826419,Autumn,October,1,Rap/HipHop
40,spotify:track:0XySogm94T51XF5F2jumXm,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,13,54,25,3807814,Autumn,October,1,Rap/HipHop
41,spotify:track:01vv2AjxgP4uUyb8waYO5Y,Twenty One Pilots,Morph,Fueled By Ramen,41,-1,1,3768513,Autumn,October,1,Alternative
42,spotify:track:29tc0GbW0pTSBZSCZF3NWk,Juice WRLD,Lean Wit Me,Juice WRLD Mixtape / ISR P&D,28,57,20,3758340,Autumn,October,1,Rap/HipHop
43,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,changes,"Bad Vibes Forever, LLC",7,58,32,3750731,Autumn,October,1,Rap/HipHop
44,spotify:track:1jo3TwNGCXfNdB5uba3ZVv,Eminem,Killshot,Aftermath,22,41,3,3722824,Autumn,October,1,Rap/HipHop
45,spotify:track:3JX0dOCIAiaR8MP3ryXWuM,"Lil Wayne, Sosamann",What About Me (feat. Sosamann),"Young Money Records, Inc.",9,9,2,3706796,Autumn,October,1,Rap/HipHop
46,spotify:track:6PoKfDY78ih5OveWirggRX,"Lil Baby, Gunna, Lil Durk, NAV",Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",46,-1,1,3658595,Autumn,October,1,Rap/HipHop
47,spotify:track:5cGpjfgAvidLy6znwkCxkP,Lil Wayne,Can't Be Broken,"Young Money Records, Inc.",6,6,2,3563492,Autumn,October,1,Rap/HipHop
48,spotify:track:3swc6WTsr7rl9DqQKQA55C,"Post Malone, Ty Dolla $ign",Psycho (feat. Ty Dolla $ign),Republic Records,2,62,33,3538501,Autumn,October,1,Rap/HipHop
49,spotify:track:4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,Natural,Kid Ina Korner / Interscope,28,55,12,3512406,Autumn,October,1,Alternative
50,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,17,61,26,3381469,Autumn,October,1,Pop
51,spotify:track:23OXdR7YuUBVWh5hSnYJau,Twenty One Pilots,Chlorine,Fueled By Ramen,51,-1,1,3372890,Autumn,October,1,Alternative
